SummID	UserID	Coverage	Faithfulness	Coherence	Interpretation	Feedback	Preference
908932_0llama	908932	3	2	4	4	"Interesting, this summary fixates much more on the immigrant narrative while also misgendering the protagonist (presumably because they put jewelry on with their mother as a child). Still, it remains cogent, contains details, and provides a reasonable summary and analysis of the story as a whole.   "	
	908932						"{'1': 'Summary 1', '2': 'Summary 2', '3': 'Summary 3'}"
	112332_3						"{'1': 'Summary 1', '2': 'Summary 2', '3': 'Summary 3'}"
	112332						"{'1': 'Summary 2', '2': 'Summary 1', '3': 'Summary 3'}"
432187_0claude	432187	3	3	4	2	"This strikes me as the sort of summary I might get from a 8th or 9th grader reading this story -- everything that's 'text' is accurately represented and well summarized, but the 'subtext' is either incorrectly interpreted or missing.  To be fair, though, there's a lot of that here that would be hard for it to pick up easily! Overall impressed with the quality of the summary."	
432187_0gpt4	432187	4	4	4	4	"This was a meaningfully better summary from the perspective of subtext and the underlying ideas of the story. Almost spookily so! The key here is understanding Paul's complicity, which the previous summary missed."	
432187_0llama	432187	2	2	3	2	"This struck me as the least successful of the three summaries -- it misinterprets the nature of Paul and August's relationship, is heavy-handed and incorrect in its assessment of key themes, and is more abstract and harder to read than the other summaries."	
	432187						"{'1': 'Summary 2', '2': 'Summary 1', '3': 'Summary 3'}"
603720_0claude	603720	3	2	3	3	"There is a second level to the story which the summary misses. The romantic hopes are clearly flawed to begin with and the narrator is clearly somewhat disturbed from the beginning. What he says and what is true may be different things. The summary struggles to realize this. That said, it does impressively nail most of the plot details."	
603720_0gpt4	603720	3	2	3	3	"Again, there's a second layer here that the summary misses somewhat—the narrator is not really to be trusted."	
603720_0llama	603720	1	2	2	2	"This is the weakest one, I think. It misrepresents some relationships the characters have, especially the narrator's parents. It also failed to capture the narrative trajectory of the story. That said "	
	603720						"{'1': 'Summary 2', '2': 'Summary 1', '3': 'Summary 3'}"
603720_1claude	603720_1	1	1	4	1	The AI refused to analyze this one.	
603720_1gpt4	603720_1	4	4	4	4	"Dang, this summary is more or less exactly accurate. I'm impressed. It makes sense, though, insofar as this story doesn't really have a second-layer. The plot is the narrative."	
603720_1llama	603720_1	2	2	2	2	"Some of this is right, some of it is wrong. The depiction of the protagonist's relationship to the character, Dave, is entirely off-base. and so the summary of the themes is also basically incorrect."	
	603720_1						"{'1': 'Summary 2', '2': 'Summary 3', '3': 'Summary 1'}"
603720_2claude	603720_2	2	2	2	3	"The story misses the narrator's idealization of the monkeys and the subsequent disillusionment that occurs upon seeing the monkeys also act violently. This is, to me, the central point of the story—that there is no outside of violence."	
603720_2gpt4	603720_2	2	2	2	4	"This summary does a poor job of summarizing the plot of the story; however, its account of the themes is fairly accurate, especially the mirror ing between the violence of the monkeys and the violence of his family."	
603720_2llama	603720_2	2	2	2	2	"This summary feels a bit like it was written by a child. While there is a broad sense of what occurred in the story, the thematic elements are vague or off-base and the turn at the story's end (when the narrator sees the monkeys also act violently) is unaccounted for."	
603720_3claude	603720_3	2	3	2	2	"The summary perhaps overstates the sense of journey from 'positive' to 'negative' within the story. Rather, it is negative nearly all the way through. It also misunderstands the discovery that the penguins can be boiled for oil."	
603720_3gpt4	603720_3	2	2	2	2	"Like with earlier stories, the summary struggles with subtext. For instance, that the captain does the same thing that Blackburn does to him—it's a series of scams here. Or that it takes the captain at his word in the story's end, that the butterflies were worthless, instead of, for instance, it being another example of exploitation. That said, the matter-of-fact plot account isn't too bad."	
603720_3llama	603720_3	1	1	2	3	"While the thematic analysis isn't so bad here, however basic, there are so fundamental details that are incorrect—it conflates some of the characters and the plot is very confused with different things happening in the wrong order or at different locations than they are supposed to."	
	603720_3						"{'1': 'Summary 1', '2': 'Summary 2', '3': 'Summary 3'}"
603720_4llama	603720_4	3	3	3	3	"Again, plot-level stuff here is pretty clear, though it misses the familial tragedy. Subtext is missing entirely as it usually is."	
	603720_4						"{'1': 'Summary 2', '2': 'Summary 1', '3': 'Summary 3'}"
936095_0claude	936095	4	4	4	4	I'm stunned at the thoughtfulness and thoroughness of this summary. It effectively unpacks the major themes as well as the metaphors in the story. This summary effectively summarizes the plot and themes of my story. It's an insightful and clear interpretation. 	
936095_0gpt4	936095	4	4	4	4	"This summary centers Nick's character alongside the narrator. While this is an interesting interpretation (and not at all wrong, necessarily) it doesn't reflect my intentions as the writer. "	
936095_0llama	936095	4	1	4	3	This summary provides incorrect analysis and overly broad takeaways that I don't believe are sufficiently evidenced by the story. 	
	936095						"{'1': 'Summary 1', '2': 'Summary 2', '3': 'Summary 3'}"
953507_0gpt4	953507	4	4	3	3	"I thought the analysis in this summary hit closer to home, though there were only a couple sentences dedicated to thematic analysis. This 'summary' is rather close to the original work and contains direct quotes that aren't cited; it moves too closely to the actual story such that it becomes arguably plagiaristic. "	
953507_0llama	953507	4	3	4	4	"The analysis in this summary was much more in-depth than the previous summaries because it provides a reading of the actual 'atmosphere' of the text, rather than focusing solely on the philosophical ideas inherent in the story. However, some of the analysis is rather elementary (i.e., Clem's disappearance as a 'rejection of society's expectations') and one detail is incorrect (only after Clem disappears does the narrate state that she might've turned herself into a pixel). "	
	953507						"{'1': 'Summary 1', '2': 'Summary 3', '3': 'Summary 2'}"
953507_1llama	953507_1	1	1	3	4	"This summary almost completely misrepresents the events of the story, especially their chronology, likely because the story is written non-linearly. The relationships between the characters are completely misunderstood. Ironically, however, this summary has the most accurate/thorough analysis about the relationship between objects, memories, and mortality. "	
	953507_1						"{'1': 'Summary 2', '2': 'Summary 1', '3': 'Summary 3'}"
953507_2gpt4	953507_2	4	3	3	1	"This summary contains way too many details, moving step-by-step through the narrative in an unnecessary / clunky way, rather than synthesizing the primary themes of the story. There are a couple instances of language taken directly from the story that goes uncited/unquoted. This summary also completely misses the fundamental thread of lying, deception, and paranoia. "	
953507_2llama	953507_2	4	3	4	4	"The interpretation of the relationship between the two characters as one of 'convenience' rather than 'genuine affinity' is rather interesting and on-point, though I'd li"	
	953507_2						"{'1': 'Summary 1', '2': 'Summary 3', '3': 'Summary 2'}"
908932_0gpt4	908932	4	3	4	3	"This summary makes a few extrapolations about the narrative or interpretations which aren't entirely inaccurate, but which presume things about the narrative based on a hypernormative interpretive framework. For instance, the summary states that Papi is 'practical and austere,' but there's no textual evidence to support this claim. Rather, it's the most likely possibility given that Mamá has to hide her jewelery from Papi in the story, but this could be for some other reason. Even if the reason"	
603720_4claude	603720_4	3	2	3	3	"Like many of these summaries, the analysis is somewhat limited. Not inaccurate, but limited. Broader considerations or social questions appear to be outside of its abilities. The summary is largely accurate, however."	
603720_4gpt4	603720_4	3	2	3	3	"Again, the level of analysis is limited. This summary is more fleshed-out than the first, but it still struggles to explain intuit anything that isn't on the page"	
	603720_2						"{'1': 'Summary 2', '2': 'Summary 3', '3': 'Summary 1'}"
953507_0claude	953507	4	4	4	4	"I'm impressed with this summary - I thought the analysis, in particular, was perceptive, especially for such a short story. The one inaccuracy is that the narrator is described as 'an admirer and harbor of doubts about Clem's artistic extremism,' which isn't present in the story - the narrator describes the situation rather objectively. "	
953507_1claude	953507_1	1	1	2	4	"This story is told out of chronological order and this summary mixes up the timeline of the story quite dramatically. Though the details of the story are rather inaccurate and out-of-order, the analysis is spot-on, though it's thin. The summary correctly emphasizes the primary image of the story -- the narrator's dead body beneath the summit. "	
953507_1gpt4	953507_1	3	2	4	4	"This story is hard to understand because of its non-linear nature, so it's impressive in its own right that the summary here includes all the major details (and correctly). The one inaccuracy is that the narrator does not 'crawl' into the cave, but rather dies in a snowstorm. I like the observation about the extremist 'backdrop' of Everest contrasted against the interiority of the narrative, "	
953507_2claude	953507_2	4	4	4	4	"This story has many unresolved plot threads since it's about an ambiguous and not-quite-real conspiracy, but this summary picks out the most important details of the story and creates a coherent narrative from them. I enjoy the analysis' emphasis on 'living in the shadow of nuclear production and waste,' which was a primary theme/backdrop/context for the story. "	
953507_3claude	953507_3	2	1	2	3	"This summary doesn't capture one of the major plot points of this story, which is that Lucia's mother miraculously recovered from cancer, thus forcing her into massive medical debt. It also confuses the climax of the story -- Lucia blinds herself much earlier than the summary states. Because the summary completely misses Lucia's motivations, it also offers a very inaccurate analysis -- Lucia removes her own eyes (as St. Lucy did) and makes herself 'horrific'/disfigured, a rejection of her own body which is her ecstatic transformation. "	
953507_3gpt4	953507_3	4	4	4	4	"This summary and analysis is basically spot-on. I thought the analysis here was particularly on-point -- it picks up that Lucia's self-inflicted disfiguration is an act of control, though an act made in desperate and violent conditions. My only issue is that the summary pilfers exact language from the story without quoting it."	
953507_3llama	953507_3	1	1	2	2	"This summary is overly long and contains many, many inaccurate details. It misunderstands characters' pasts, their positions within the casino (Dmitry is not a security guard), and the actual events of the narrative (among many inaccuracies, St Agatha is not a good luck charm nor a statue). The analysis is also completely off-kilter; there is no 'power of positive thinking' in this story, which is a rather brutal portrayal of debt and economic desperation."	
	953507_3						"{'1': 'Summary 2', '2': 'Summary 1', '3': 'Summary 3'}"
953507_4claude	953507_4	4	4	4	4	"The summary is all accurate and efficiently details the important events of the story. The analysis approaches but doesn't quite hit on one of the most salient theme of the story -- differing perspectives on history, and the crude interruption of the past into the present."	
953507_4gpt4	953507_4	4	4	4	4	"This summary is a little over-stuffed on the details, rather than truly 'summarizing' the events, although it captures the logic of the story more accurately than the previous summary. The analysis here captures many of the themes that I was trying to communicate in this story -- the boundaries between art and life, the representation of the past in the present, and the taboos of the sisterly relationship."	
953507_4llama	953507_4	1	1	3	4	"The summary completely misses the second half of the story, though it moves detail-by-detail through the first half it. The summary even mentions details that have very little to do with the actual story -- for example, Clarissa's refusal to take Pasha to the water. However, the analysis here is rather in-depth, and not inaccurate. I like that the analysis even delves into specific scenes, rather than "	
	953507_4						"{'1': 'Summary 2', '2': 'Summary 1', '3': 'Summary 3'}"
371999_0claude	371999	3	3	4	3	"Since my story was on the shorter side, this summary gave excessive detail that wasn't needed. Things like mentioning the woman frowning etc could have been left out. The story was also intentionally indirect (inspired by Hills lik"	
371999_0gpt4	371999	3	2	4	2	"The story was also intentionally indirect (inspired by Hills Like White Elephants) where the details had to be inferred, such as the woman having just married the man (paragraph 1) so the interpretation that she had gone to the church and prayed driven by a sense of hope is incorrect. The conflict between 'influencing her destiny and leaving it to a higher power or the universe' is only correct when talking about the relationship, which the summary doesn’t. The ending tone of connection is also incorrect. This summary tries to make too many analyses like a high school english class while missing the overall bigger feelings."	
371999_0llama	371999	3	4	3	3	"This one was the shortest and everything was accurately summarized, but it didn't feel like it really gave an attempt at summarization. The ending of contentment is supposed to be contemplation. This leaves out any feeling of hesitancy or reflection, the hints at marriage and a life together. The interpretation of the first paragraph is also incorrect."	
	371999						"{'1': 'Summary 1', '2': 'Summary 3', '3': 'Summary 2'}"
396999_0claude	396999	4	2	4	4	"It is something that I would find on a Sparknotes website. I'm glad to have read this seeing how the heart of my story is summarized; for instance, the last line 'profound shift from alienation toward integration.'  It shows some weakness of my story as well as some minor characters are more flat than I want in a summary as well as Kyle being removed totally. I think it's a mixture of the passion of the leaders, as well as a sort of Ryan's vanity that I will want to have in my final draft of my story. "	
396999_0gpt4	396999	4	4	3	4	"This summary touches on all the important points, maybe a bit too detailed. The last paragraph catches the heart of the matter really well, (one point about nostalgia is over represented.) "	
396999_0llama	396999	2	2	2	2	"I think this summary missed the mark by focusing on the wrong details, like his search to find a place to smoke like the climax! It focuses too much on his memories, misrepresents his desires of being at camp, and excludes the main event of the story, Capture the Mattress. The last sentence and conclusion is an incorrect analysis as well. "	
	396999						"{'1': 'Summary 1', '2': 'Summary 2', '3': 'Summary 3'}"
936095_1claude	936095_1	4	4	-1	4	"This is a really great, complete summary of the story. It is written twice on the page, which feels a bit like a typo or technological 'fart'- but all major themes and ideas within the story are here, as well as the plot summary. (Melanie note: There was a bug in the interface which caused this summary to be repeated on the page so the coherence score is removed.)"	Note: change to 4 becase just copied it wrong
936095_1gpt4	936095_1	4	2	4	3	"There is a lot of thoughtful analysis in this summary, but certain points are definitely 'subjective' and stray a bit too far from the page to read as 'summary'-- to me, this reads a bit more like an 'interpretation' of the story (that could be argued against, disagreed with, etc). Specifically, this section feels quite contrived and not evidenced by the text:  'The narrator also reveals a personal and painful memory: the one year anniversary of their abortion. This event seems to be a significant factor in their decision to leave the city and seek solace in gardening. The act of gardening becomes intertwined with the narrator's process of coping with their past and the trauma they have experienced.' "	Note: change to 4 becase just copied it wrong
936095_1llama	936095_1	2	1	4	3	"This is the weakest of the summaries-- it not only leaves out specific narrative details, but does a bit too much interpreting and framing the story in 'grandeose' terms/ideas rather than more concrete and specific terms. There are also made-up details. "	
	936095_1						"{'1': 'Summary 1', '2': 'Summary 2', '3': 'Summary 3'}"
936095_2claude	936095_2	3	3	4	3	"What's missing from this summary is the entire frame of the story-- the narrator trying to write about her life in fairy tale terms so as to make sense of things that she doesn't understand. This frame is revealed bit by bit over the course of the story, and is key to a complete summary of it. "	
936095_2gpt4	936095_2	4	4	4	4	There are still some aspects missing here in terms of addressing the overall frame-- the story is actually set in *this* world and a reader is supposed to understand that she's reading a creative attempt on the part of the speaker to make sense of the real world- but this is otherwise really good. 	
936095_2llama	936095_2	2	1	4	2	This summary makes up some details and completely misrepresents the order/narrative of the story. 	
	936095_2						"{'1': 'Summary 2', '2': 'Summary 1', '3': 'Summary 3'}"
936095_3claude	936095_3	4	4	4	4	"This summary is great all the way to the last sentence, which I'm not sure conveys properly what the story is really saying! "	
936095_3gpt4	936095_3	4	4	4	4	"This summary is really great, but it misses one key idea from the story, which is the idea of a 'bad goodbye' or the narrator being bad at goodbyes/leaving the Ayers' house without any proper thank you. That said, this summary is more accurate in its sequencing of information (it tracks the actual narrative arc of the story) which makes it seem closer to the text than Summary 1."	
936095_3llama	936095_3	3	2	4	3	"This summary makes more interpretive leaps than the other two, and departs the furthest from the story. A sentence like: 'The author spent a summer living in the Ayers' home, experiencing their unconventional lifestyle and witnessing the tensions within the Weather Underground' is factually wrong-- The Weather Underground had ended decades prior to the narrator living in the Ayers' home, and there's not evidence in the story that she 'experienced their unconventional lifestyle.' "	
	936095_3						"{'1': 'Summary 1', '2': 'Summary 2', '3': 'Summary 3'}"
936095_4claude	936095_4	3	1	4	2	"This summary makes a number of big interpretive leaps that make me skeptical. 'The cockroaches serve as a metaphor for the family's surrender to destructive outside forces invading their home' is one example of a leap that does not feel accurate to me. The summary also makes use of phrases like 'coming-of-age story' and 'symbolic legacy' which feel to me like stock phrases or stand-ins rather than accurate, specific summary of the text. "	
936095_4gpt4	936095_4	4	4	4	4	"Accurate, thoughtful summary. "	
936095_4llama	936095_4	2	1	4	2	"Like Summary 1, this summary makes a number of interpretive leaps that are not entirely evidenced by the text (e.g. 'The cockroaches serve as a symbol of the unpredictability and uncertainty of life, as well as the way we can adapt to even the most unexpected circumstances'). But unlike Summary 1, this summary does not even very clearly map the narrative arc or plot of the text. It would be difficult to appreciate or understand the story from this text alone."	
	936095_4						"{'1': 'Summary 2', '2': 'Summary 1', '3': 'Summary 3'}"
